transaction_id,customer_id,timestamp,amount,merchant_category,location_country,card_present,is_fraud,datetime,hour_of_day,day_of_week,weekend,customer_avg_monthly_spending,amount_to_avg_ratio,transaction_velocity,days_since_last_transaction
T00004636,1143,1742930740,51.37552478129302,online_retail,Poland,True,0,2025-03-25 19:25:40,19,1,0,294.807498852969,0.17426803924996434,6,18
T00006126,3998,1742899252,95.51112220163716,transport,UK,True,0,2025-03-25 10:40:52,10,1,0,151.86890887865684,0.6289050399246003,9,8
T00004105,1930,1742997012,38.901575643900856,restaurant,France,False,0,2025-03-26 13:50:12,13,2,0,140.88765291809332,0.27611770682642245,7,20
T00002655,9278,1741508515,16.794539615251317,grocery,Poland,True,0,2025-03-09 08:21:55,8,6,1,205.2088125019829,0.08184122022093489,3,2
T00002461,7055,1742405098,57.07720107340814,grocery,Germany,True,0,2025-03-19 17:24:58,17,2,0,151.7338082122276,0.3761666681005936,5,4
T00007093,1609,1741007262,17.6701834300682,entertainment,Poland,True,0,2025-03-03 13:07:42,13,0,0,178.49881920156733,0.0989932791102354,2,29
T00005480,5165,1742032378,295.77372106640036,online_retail,Poland,True,0,2025-03-15 09:52:58,9,5,1,240.09130775801825,1.2319218210286187,9,15
T00007429,1138,1742647413,117.15222793463353,grocery,Poland,True,0,2025-03-22 12:43:33,12,5,1,256.86012443823995,0.4560934796354577,3,3
T00004047,6767,1743380932,29.329339826443384,entertainment,Poland,True,0,2025-03-31 00:28:52,0,0,0,70.520701202075,0.41589688313508144,5,16
T00009908,4746,1741126663,261.93451720687796,other,China,False,1,2025-03-04 22:17:43,22,1,0,264.4073008255962,0.9906478239783957,2,21
T00001776,2115,1741694180,231.52275490424717,utilities,Poland,True,0,2025-03-11 11:56:20,11,1,0,323.5347806384799,0.7156039126530646,2,9
T00006793,3275,1741541684,29.524744717272018,online_retail,Poland,True,0,2025-03-09 17:34:44,17,6,1,176.92065091273938,0.16688128019512083,6,27
T00003770,1303,1742185079,5.998194665752783,grocery,Poland,True,0,2025-03-17 04:17:59,4,0,0,301.90661536448613,0.01986771524867475,8,14
T00003504,6914,1742041711,45.91591566592661,grocery,Poland,False,0,2025-03-15 12:28:31,12,5,1,95.39662642054026,0.48131592687055713,7,11
T00006250,8906,1743242239,183.60223487253182,restaurant,Poland,True,0,2025-03-29 09:57:19,9,5,1,233.5779218927266,0.7860427620246287,5,21
T00004596,9500,1740879263,64.73778627351808,restaurant,Poland,True,0,2025-03-02 01:34:23,1,6,1,138.52663660830936,0.4673309614566565,6,1
T00007921,3168,1741350348,74.44044708917298,grocery,Poland,True,0,2025-03-07 12:25:48,12,4,0,163.2693028435739,0.4559365771316691,7,5
T00009331,4758,1742656537,53.59438336916592,grocery,Poland,False,0,2025-03-22 15:15:37,15,5,1,115.97758361186877,0.4621098465762589,6,27
T00006990,3850,1742616534,127.86378468996016,restaurant,Poland,False,0,2025-03-22 04:08:54,4,5,1,141.00797230139744,0.9067840818011179,6,23
T00009389,1331,1741876877,89.09063099679453,grocery,Poland,True,0,2025-03-13 14:41:17,14,3,0,203.34871136436632,0.4381175095678834,2,22
T00008820,5208,1741200546,39.57589548610397,transport,France,True,0,2025-03-05 18:49:06,18,2,0,194.65779224375038,0.2033101014345578,5,11
T00001436,8128,1742188253,32.95076033690432,transport,Poland,True,0,2025-03-17 05:10:53,5,0,0,130.364901640513,0.25275791200124936,1,7
T00008402,5851,1741286217,31.256401610161003,entertainment,Poland,True,0,2025-03-06 18:36:57,18,3,0,112.14809062025319,0.2787064981427005,3,10
T00006502,2733,1741386347,50.533246620039556,restaurant,Poland,True,0,2025-03-07 22:25:47,22,4,0,191.6477981053238,0.2636776791574095,5,15
